method,dataset,query_index,chain_broken,title_recall_at5,ExactMatch,F1
ETv3+PCEC_all32,2wikimultihopqa,51,1,0.5,0.0,0.2222
ETv3+PCEC_all32,2wikimultihopqa,52,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,53,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,54,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,55,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,56,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,57,1,0.75,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,58,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,59,0,1.0,0.0,0.5
ETv3+PCEC_all32,2wikimultihopqa,60,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,61,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,62,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,63,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,64,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,65,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,66,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,67,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,68,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,69,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,70,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,71,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,72,1,0.5,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,73,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,74,1,0.75,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,75,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,76,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,77,1,0.75,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,78,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,79,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,80,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,81,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,82,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,83,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,84,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,85,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,86,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,87,1,0.75,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,88,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,89,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,90,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,91,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,92,0,1.0,0.0,0.8
ETv3+PCEC_all32,2wikimultihopqa,93,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,94,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,95,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,96,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,97,1,0.75,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,98,1,0.75,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,99,0,1.0,0.0,0.5
ETv3+PCEC_all32,2wikimultihopqa,100,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,101,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,102,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,103,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,104,0,1.0,0.0,0.6667
ETv3+PCEC_all32,2wikimultihopqa,105,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,106,0,1.0,0.0,0.5
ETv3+PCEC_all32,2wikimultihopqa,107,0,1.0,0.0,0.8
ETv3+PCEC_all32,2wikimultihopqa,108,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,109,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,110,0,1.0,0.0,0.6667
ETv3+PCEC_all32,2wikimultihopqa,111,1,0.75,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,112,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,113,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,114,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,115,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,116,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,117,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,118,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,119,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,120,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,121,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,122,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,123,1,0.5,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,124,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,125,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,126,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,127,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,128,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,129,1,0.5,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,130,1,0.75,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,131,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,132,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,133,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,134,1,0.5,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,135,0,1.0,0.0,0.3333
ETv3+PCEC_all32,2wikimultihopqa,136,0,1.0,0.0,0.5
ETv3+PCEC_all32,2wikimultihopqa,137,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,138,1,0.5,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,139,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,140,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,141,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,142,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,143,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,144,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,145,1,0.5,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,146,0,1.0,0.0,0.8
ETv3+PCEC_all32,2wikimultihopqa,147,0,1.0,0.0,0.6667
ETv3+PCEC_all32,2wikimultihopqa,148,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,149,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,150,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,151,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,152,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,153,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,154,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,155,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,156,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,157,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,158,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,159,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,160,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,161,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,162,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,163,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,164,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,165,1,0.75,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,166,0,1.0,0.0,0.5714
ETv3+PCEC_all32,2wikimultihopqa,167,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,168,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,169,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,170,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,171,1,0.75,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,172,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,173,1,0.5,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,174,1,0.75,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,175,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,176,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,177,0,1.0,0.0,0.2857
ETv3+PCEC_all32,2wikimultihopqa,178,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,179,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,180,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,181,1,0.75,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,182,1,0.5,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,183,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,184,0,1.0,0.0,0.6667
ETv3+PCEC_all32,2wikimultihopqa,185,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,186,0,1.0,0.0,0.6667
ETv3+PCEC_all32,2wikimultihopqa,187,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,188,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,189,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,190,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,191,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,192,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,193,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,194,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,195,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,196,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,197,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,198,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,199,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,200,0,1.0,0.0,0.4444
ETv3+PCEC_all32,2wikimultihopqa,201,0,1.0,0.0,0.8571
ETv3+PCEC_all32,2wikimultihopqa,202,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,203,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,204,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,205,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,206,0,1.0,0.0,0.8
ETv3+PCEC_all32,2wikimultihopqa,207,0,1.0,0.0,0.5
ETv3+PCEC_all32,2wikimultihopqa,208,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,209,0,1.0,0.0,0.6667
ETv3+PCEC_all32,2wikimultihopqa,210,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,211,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,212,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,213,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,214,0,1.0,0.0,0.6667
ETv3+PCEC_all32,2wikimultihopqa,215,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,216,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,217,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,218,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,219,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,220,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,221,0,1.0,0.0,0.6667
ETv3+PCEC_all32,2wikimultihopqa,222,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,223,1,0.75,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,224,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,225,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,226,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,227,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,228,1,0.75,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,229,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,230,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,231,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,232,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,233,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,234,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,235,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,236,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,237,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,238,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,239,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,240,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,241,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,242,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,243,0,1.0,0.0,0.5714
ETv3+PCEC_all32,2wikimultihopqa,244,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,245,1,0.75,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,246,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,247,0,1.0,0.0,0.8
ETv3+PCEC_all32,2wikimultihopqa,248,0,1.0,0.0,0.8
ETv3+PCEC_all32,2wikimultihopqa,249,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,250,1,0.75,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,251,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,252,1,0.5,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,253,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,254,1,0.75,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,255,0,1.0,0.0,0.6667
ETv3+PCEC_all32,2wikimultihopqa,256,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,257,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,258,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,259,0,1.0,0.0,0.8
ETv3+PCEC_all32,2wikimultihopqa,260,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,261,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,262,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,263,0,1.0,0.0,0.6667
ETv3+PCEC_all32,2wikimultihopqa,264,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,265,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,266,1,0.75,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,267,0,1.0,0.0,0.5
ETv3+PCEC_all32,2wikimultihopqa,268,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,269,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,270,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,271,0,1.0,0.0,0.5
ETv3+PCEC_all32,2wikimultihopqa,272,1,0.75,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,273,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,274,1,0.75,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,275,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,276,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,277,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,278,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,279,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,280,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,281,1,0.75,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,282,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,283,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,284,0,1.0,0.0,0.5
ETv3+PCEC_all32,2wikimultihopqa,285,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,286,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,287,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,288,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,289,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,290,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,291,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,292,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,293,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,294,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,295,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,296,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,297,0,1.0,0.0,0.3333
ETv3+PCEC_all32,2wikimultihopqa,298,1,0.75,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,299,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,300,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,301,0,1.0,0.0,0.5
ETv3+PCEC_all32,2wikimultihopqa,302,0,1.0,0.0,0.3333
ETv3+PCEC_all32,2wikimultihopqa,303,1,0.75,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,304,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,305,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,306,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,307,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,308,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,309,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,310,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,311,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,312,1,0.75,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,313,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,314,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,315,1,0.5,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,316,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,317,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,318,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,319,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,320,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,321,1,0.5,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,322,1,0.75,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,323,0,1.0,0.0,0.8571
ETv3+PCEC_all32,2wikimultihopqa,324,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,325,0,1.0,0.0,0.5714
ETv3+PCEC_all32,2wikimultihopqa,326,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,327,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,328,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,329,0,1.0,0.0,0.5
ETv3+PCEC_all32,2wikimultihopqa,330,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,331,0,1.0,0.0,0.5714
ETv3+PCEC_all32,2wikimultihopqa,332,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,333,0,1.0,0.0,0.5
ETv3+PCEC_all32,2wikimultihopqa,334,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,335,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,336,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,337,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,338,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,339,0,1.0,0.0,0.6667
ETv3+PCEC_all32,2wikimultihopqa,340,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,341,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,342,0,1.0,0.0,0.8
ETv3+PCEC_all32,2wikimultihopqa,343,0,1.0,0.0,0.4
ETv3+PCEC_all32,2wikimultihopqa,344,1,0.75,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,345,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,346,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,347,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,348,0,1.0,1.0,1.0
ETv3+PCEC_all32,2wikimultihopqa,349,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,350,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,351,0,1.0,0.0,0.6667
ETv3+PCEC_all32,2wikimultihopqa,352,0,1.0,0.0,0.5
ETv3+PCEC_all32,2wikimultihopqa,353,0,1.0,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,354,1,0.5,0.0,0.0
ETv3+PCEC_all32,2wikimultihopqa,355,0,1.0,1.0,1.0
