qid,query_idx,query_type,category,hard_negative_type,candidate_index,title,rank,rank_bucket,q_doc_cosine,answer_in_doc,bridge_entity_in_doc,question_token_coverage
265daf200bdc11eba7f7acde48001122,14,compositional,rank_retained_non_gold,,2,William of Nassau (1601–1627),3.0,outside,0.4609866738319397,0.0,0.0,0.7
265daf200bdc11eba7f7acde48001122,14,compositional,rank_retained_non_gold,,3,"William I, Count of Nassau-Dillenburg",4.0,outside,0.3817484974861145,0.0,1.0,0.4
265daf200bdc11eba7f7acde48001122,14,compositional,selector_added_non_gold,lexical_hard_negative,11,Margaretha van Mechelen,12.0,11-20,0.41580313444137573,0.0,0.0,0.7
1c0dd3b00bdc11eba7f7acde48001122,15,compositional,rank_retained_non_gold,,1,Aleksander Koniecpolski (1555–1609),2.0,outside,0.6531743407249451,0.0,0.0,0.2222222222222222
1c0dd3b00bdc11eba7f7acde48001122,15,compositional,rank_retained_non_gold,,3,Marek Sobieski,4.0,outside,0.3862384259700775,0.0,0.0,0.1111111111111111
1c0dd3b00bdc11eba7f7acde48001122,15,compositional,rank_removed_non_gold,,4,Jadwiga Snopkowska,5.0,outside,0.2964150309562683,0.0,0.0,0.0
1c0dd3b00bdc11eba7f7acde48001122,15,compositional,selector_added_non_gold,semantic_hard_negative,9,Jerzy Moes,10.0,6-10,0.4174361526966095,0.0,0.0,0.3333333333333333
bab3b6d00bda11eba7f7acde48001122,16,compositional,rank_retained_non_gold,,2,Édouard Molinaro,3.0,outside,0.191010519862175,0.0,0.0,0.18181818181818182
bab3b6d00bda11eba7f7acde48001122,16,compositional,rank_removed_non_gold,,3,Les Misérables (1917 film),4.0,outside,-0.008932080119848251,0.0,1.0,0.36363636363636365
bab3b6d00bda11eba7f7acde48001122,16,compositional,rank_removed_non_gold,,4,Claude Sautet,5.0,outside,0.23948588967323303,0.0,0.0,0.18181818181818182
bab3b6d00bda11eba7f7acde48001122,16,compositional,selector_added_non_gold,lexical_hard_negative,6,Claude Autant-Lara,7.0,6-10,0.1477372795343399,0.0,0.0,0.36363636363636365
bab3b6d00bda11eba7f7acde48001122,16,compositional,selector_added_non_gold,low_signal_deep_negative,7,Claude Pinoteau,8.0,6-10,0.137928768992424,0.0,0.0,0.2727272727272727
84b691d8086a11ebbd5fac1f6bf848b6,17,bridge_comparison,rank_retained_non_gold,,3,Wrong Turn 4: Bloody Beginnings,4.0,outside,0.27056169509887695,0.0,1.0,0.3333333333333333
84b691d8086a11ebbd5fac1f6bf848b6,17,bridge_comparison,selector_added_non_gold,answer_string_distractor,9,Rufus Norris,10.0,6-10,0.18870797753334045,1.0,0.0,0.2222222222222222
dcbee4b608b011ebbd85ac1f6bf848b6,18,bridge_comparison,rank_removed_non_gold,,2,The Past of Mary Holmes,3.0,outside,0.3895931839942932,0.0,0.0,0.35294117647058826
dcbee4b608b011ebbd85ac1f6bf848b6,18,bridge_comparison,selector_added_non_gold,lexical_hard_negative,9,Alexander Korda,10.0,6-10,0.35419154167175293,0.0,0.0,0.35294117647058826
2d8f3ebe0bda11eba7f7acde48001122,19,compositional,rank_retained_non_gold,,1,Michael Powell,2.0,outside,0.31559330224990845,0.0,0.0,0.6
2d8f3ebe0bda11eba7f7acde48001122,19,compositional,rank_retained_non_gold,,3,Georges Périnal,4.0,outside,0.3734600841999054,0.0,0.0,0.1
2d8f3ebe0bda11eba7f7acde48001122,19,compositional,rank_removed_non_gold,,4,Peter Greenaway,5.0,outside,0.3679896891117096,0.0,0.0,0.5
2d8f3ebe0bda11eba7f7acde48001122,19,compositional,selector_added_non_gold,lexical_hard_negative,6,Alexander Korda,7.0,6-10,0.1099662110209465,0.0,0.0,0.9
e6e38bc40bdd11eba7f7acde48001122,20,compositional,rank_retained_non_gold,,2,"John Stuart, Lord Mount Stuart",3.0,outside,0.26167359948158264,0.0,0.0,0.0
e6e38bc40bdd11eba7f7acde48001122,20,compositional,rank_retained_non_gold,,3,"George Rodney, 2nd Baron Rodney",4.0,outside,0.14774593710899353,0.0,0.0,0.16666666666666666
e6e38bc40bdd11eba7f7acde48001122,20,compositional,rank_retained_non_gold,,4,Robert Vere Buxton,5.0,outside,0.18020936846733093,1.0,0.0,0.16666666666666666
0bedb7e80bdc11eba7f7acde48001122,21,compositional,rank_retained_non_gold,,2,John Middleton Murry Jr.,3.0,outside,0.40422022342681885,0.0,0.0,0.2857142857142857
0bedb7e80bdc11eba7f7acde48001122,21,compositional,rank_retained_non_gold,,3,Anne Estelle Rice,4.0,outside,0.2326359748840332,0.0,1.0,0.2857142857142857
0bedb7e80bdc11eba7f7acde48001122,21,compositional,rank_retained_non_gold,,4,Juan Carlos Gumucio,5.0,outside,0.17890772223472595,0.0,0.0,0.0
86508dc60bdc11eba7f7acde48001122,22,compositional,rank_retained_non_gold,,2,Lee Hall (playwright),3.0,outside,0.38757312297821045,0.0,0.0,0.5555555555555556
86508dc60bdc11eba7f7acde48001122,22,compositional,rank_removed_non_gold,,3,Billy Elliot the Musical Live,4.0,outside,0.2831711769104004,0.0,0.0,0.6666666666666666
86508dc60bdc11eba7f7acde48001122,22,compositional,rank_retained_non_gold,,4,Dominic Jacotin Gamble,5.0,outside,0.13142108917236328,0.0,0.0,0.4444444444444444
86508dc60bdc11eba7f7acde48001122,22,compositional,selector_added_non_gold,lexical_hard_negative,7,James Lomas (actor),8.0,6-10,0.00867168977856636,0.0,0.0,0.6666666666666666
e311a3ba0bdc11eba7f7acde48001122,23,compositional,rank_retained_non_gold,,2,Place of birth,3.0,outside,0.44769418239593506,0.0,0.0,0.5555555555555556
e311a3ba0bdc11eba7f7acde48001122,23,compositional,rank_retained_non_gold,,3,Sven Ulric Palme,4.0,outside,0.5217416286468506,1.0,1.0,0.2222222222222222
e311a3ba0bdc11eba7f7acde48001122,23,compositional,rank_retained_non_gold,,4,Place of origin,5.0,outside,0.40347689390182495,0.0,0.0,0.5555555555555556
bdd526c4091811ebbdaeac1f6bf848b6,24,comparison,rank_retained_non_gold,,2,Dots,3.0,outside,0.2446441948413849,0.0,0.0,0.2
bdd526c4091811ebbdaeac1f6bf848b6,24,comparison,rank_removed_non_gold,,3,Killed the Family and Went to the Movies,4.0,outside,-0.16086921095848083,0.0,0.0,0.0
bdd526c4091811ebbdaeac1f6bf848b6,24,comparison,rank_retained_non_gold,,4,Great God Gold,5.0,outside,-0.09925907850265503,0.0,0.0,0.2
bdd526c4091811ebbdaeac1f6bf848b6,24,comparison,selector_added_non_gold,low_signal_deep_negative,45,John Llewellyn Moxey,46.0,21-50,0.14029458165168762,0.0,0.0,0.2
435f65fa0baf11ebab90acde48001122,25,inference,rank_removed_non_gold,,2,Obata Toramori,3.0,outside,0.3934915065765381,0.0,0.0,0.2857142857142857
435f65fa0baf11ebab90acde48001122,25,inference,rank_removed_non_gold,,3,Anacyndaraxes,4.0,outside,0.4859500229358673,0.0,0.0,0.2857142857142857
435f65fa0baf11ebab90acde48001122,25,inference,rank_removed_non_gold,,4,Takayama Tomoteru,5.0,outside,0.3739221692085266,0.0,0.0,0.2857142857142857
435f65fa0baf11ebab90acde48001122,25,inference,selector_added_non_gold,semantic_hard_negative,11,Duke Alexander of Württemberg (1804–1885),12.0,11-20,0.5473713278770447,0.0,0.0,0.2857142857142857
435f65fa0baf11ebab90acde48001122,25,inference,selector_added_non_gold,lexical_hard_negative,41,Peter Burroughs,42.0,21-50,-0.05500992760062218,0.0,0.0,0.42857142857142855
435f65fa0baf11ebab90acde48001122,25,inference,selector_added_non_gold,lexical_hard_negative,48,Filippa Fleming,49.0,21-50,-0.01219959557056427,0.0,0.0,0.42857142857142855
5cc01ab60bb011ebab90acde48001122,26,inference,rank_retained_non_gold,,2,Vera Miletić,3.0,outside,0.2617707848548889,0.0,0.0,0.25
5cc01ab60bb011ebab90acde48001122,26,inference,rank_retained_non_gold,,3,Priscilla Pointer,4.0,outside,0.1798689216375351,0.0,0.0,0.25
5cc01ab60bb011ebab90acde48001122,26,inference,rank_removed_non_gold,,4,Eldon Howard,5.0,outside,0.19278793036937714,0.0,0.0,0.0
5cc01ab60bb011ebab90acde48001122,26,inference,selector_added_non_gold,low_signal_deep_negative,7,Donna Harun,8.0,6-10,-0.07355540990829468,0.0,0.0,0.25
2084260e0bde11eba7f7acde48001122,27,compositional,rank_retained_non_gold,,2,Sidney Mason Stone,3.0,outside,0.21801769733428955,0.0,0.0,0.14285714285714285
2084260e0bde11eba7f7acde48001122,27,compositional,rank_retained_non_gold,,3,Hywel Teifi Edwards,4.0,outside,0.2578526735305786,0.0,0.0,0.2857142857142857
2084260e0bde11eba7f7acde48001122,27,compositional,rank_removed_non_gold,,4,Theodore Salisbury Woolsey Jr.,5.0,outside,0.5278674960136414,0.0,0.0,0.2857142857142857
2084260e0bde11eba7f7acde48001122,27,compositional,selector_added_non_gold,low_signal_deep_negative,11,Jerry Brown,12.0,11-20,0.040727127343416214,0.0,0.0,0.0
7cb81afc0bd911eba7f7acde48001122,28,compositional,rank_retained_non_gold,,2,Swamp Thing (film),3.0,outside,0.40003660321235657,0.0,0.0,0.6363636363636364
7cb81afc0bd911eba7f7acde48001122,28,compositional,rank_retained_non_gold,,3,Dick Durock,4.0,outside,0.47292155027389526,0.0,0.0,0.45454545454545453
7cb81afc0bd911eba7f7acde48001122,28,compositional,rank_removed_non_gold,,4,Rod Hardy,5.0,outside,0.464699387550354,0.0,0.0,0.2727272727272727
7cb81afc0bd911eba7f7acde48001122,28,compositional,selector_added_non_gold,bridge_entity_distractor,9,976-Evil II,10.0,6-10,0.014135107398033142,0.0,1.0,0.36363636363636365
a1d9a65c0bd911eba7f7acde48001122,29,compositional,rank_retained_non_gold,,2,Chuck Berry,3.0,outside,-0.02707229182124138,0.0,0.0,0.5
a1d9a65c0bd911eba7f7acde48001122,29,compositional,rank_retained_non_gold,,3,Leaving You,4.0,outside,0.29785439372062683,0.0,0.0,0.14285714285714285
a1d9a65c0bd911eba7f7acde48001122,29,compositional,rank_removed_non_gold,,4,Where Was I,5.0,outside,0.29115310311317444,0.0,0.0,0.21428571428571427
a1d9a65c0bd911eba7f7acde48001122,29,compositional,selector_added_non_gold,bridge_entity_distractor,5,Sam Cooke,6.0,6-10,0.25743287801742554,0.0,1.0,0.42857142857142855
f34d188608cb11ebbd93ac1f6bf848b6,30,bridge_comparison,rank_retained_non_gold,,2,Victor Sjöström,3.0,outside,0.17878574132919312,0.0,0.0,0.4117647058823529
f34d188608cb11ebbd93ac1f6bf848b6,30,bridge_comparison,rank_retained_non_gold,,4,Francis J. Grandon,5.0,outside,-0.03436784818768501,0.0,0.0,0.29411764705882354
3a3c2efe0bdc11eba7f7acde48001122,31,compositional,rank_retained_non_gold,,0,"Otto I, Count of Burgundy",1.0,outside,0.3628714084625244,0.0,0.0,0.4444444444444444
3a3c2efe0bdc11eba7f7acde48001122,31,compositional,rank_retained_non_gold,,1,"Beatrice of Navarre, Duchess of Burgundy",2.0,outside,0.5495926141738892,0.0,0.0,0.4444444444444444
3a3c2efe0bdc11eba7f7acde48001122,31,compositional,rank_retained_non_gold,,2,"Frederick V, Duke of Swabia",3.0,outside,0.33169808983802795,0.0,0.0,0.4444444444444444
3a3c2efe0bdc11eba7f7acde48001122,31,compositional,rank_retained_non_gold,,4,Agnes of Dampierre,5.0,outside,0.6263223886489868,0.0,0.0,0.3333333333333333
9aa8008408de11ebbd9eac1f6bf848b6,32,bridge_comparison,rank_removed_non_gold,,4,Bertrand Tavernier,5.0,outside,0.19261139631271362,0.0,0.0,0.14285714285714285
9aa8008408de11ebbd9eac1f6bf848b6,32,bridge_comparison,selector_added_non_gold,semantic_hard_negative,6,Christian E. Christiansen,7.0,6-10,0.37267762422561646,0.0,0.0,0.07142857142857142
0dfe41f60bdc11eba7f7acde48001122,33,compositional,rank_retained_non_gold,,1,Place of birth,2.0,outside,0.2775057852268219,0.0,0.0,0.5454545454545454
0dfe41f60bdc11eba7f7acde48001122,33,compositional,rank_retained_non_gold,,2,The Tender Trap (film),3.0,outside,-0.14907339215278625,0.0,1.0,0.45454545454545453
0dfe41f60bdc11eba7f7acde48001122,33,compositional,rank_removed_non_gold,,3,Time Out for Rhythm,4.0,outside,-0.11666687577962875,0.0,0.0,0.18181818181818182
0dfe41f60bdc11eba7f7acde48001122,33,compositional,rank_retained_non_gold,,4,Why Did It Have to Be Me?,5.0,outside,0.16494552791118622,0.0,0.0,0.45454545454545453
0dfe41f60bdc11eba7f7acde48001122,33,compositional,selector_added_non_gold,bridge_entity_distractor,5,Bing Crosby,6.0,6-10,0.030422162264585495,0.0,1.0,0.45454545454545453
3ce92df80bde11eba7f7acde48001122,34,compositional,rank_retained_non_gold,,1,Anthony Mann,2.0,outside,0.29673951864242554,0.0,0.0,0.5
3ce92df80bde11eba7f7acde48001122,34,compositional,rank_removed_non_gold,,2,Stranger in the Mirror,3.0,outside,0.08600491285324097,0.0,0.0,0.16666666666666666
3ce92df80bde11eba7f7acde48001122,34,compositional,rank_removed_non_gold,,3,The Stranger,4.0,outside,0.15389105677604675,0.0,0.0,0.16666666666666666
3ce92df80bde11eba7f7acde48001122,34,compositional,rank_removed_non_gold,,4,Stranger in the House,5.0,outside,0.08876301348209381,0.0,0.0,0.16666666666666666
3ce92df80bde11eba7f7acde48001122,34,compositional,selector_added_non_gold,lexical_hard_negative,11,Mark Pellington,12.0,11-20,0.4020741581916809,0.0,0.0,0.16666666666666666
3ce92df80bde11eba7f7acde48001122,34,compositional,selector_added_non_gold,lexical_hard_negative,12,Richard Boleslawski,13.0,11-20,-0.021289870142936707,0.0,0.0,0.3333333333333333
3ce92df80bde11eba7f7acde48001122,34,compositional,selector_added_non_gold,low_signal_deep_negative,21,Robert Emmett Tansey,22.0,21-50,0.032321374863386154,0.0,0.0,0.25
3e3cd62a086211ebbd5dac1f6bf848b6,35,comparison,rank_retained_non_gold,,2,J. Neely Johnson,3.0,outside,0.31490015983581543,0.0,0.0,0.36363636363636365
3e3cd62a086211ebbd5dac1f6bf848b6,35,comparison,rank_removed_non_gold,,3,Thaddeus P. Mott,4.0,outside,0.22050724923610687,0.0,0.0,0.09090909090909091
3e3cd62a086211ebbd5dac1f6bf848b6,35,comparison,rank_removed_non_gold,,4,Ola Isene,5.0,outside,0.25794094800949097,0.0,0.0,0.18181818181818182
3e3cd62a086211ebbd5dac1f6bf848b6,35,comparison,selector_added_non_gold,low_signal_deep_negative,16,Andrew Gillum,17.0,11-20,0.18532465398311615,0.0,0.0,0.2727272727272727
3e3cd62a086211ebbd5dac1f6bf848b6,35,comparison,selector_added_non_gold,low_signal_deep_negative,40,Bob Graham,41.0,21-50,0.18315255641937256,0.0,0.0,0.2727272727272727
b672c1ee0bdd11eba7f7acde48001122,36,compositional,rank_retained_non_gold,,2,Melora Walters,3.0,outside,0.10175807774066925,0.0,0.0,0.2
b672c1ee0bdd11eba7f7acde48001122,36,compositional,rank_retained_non_gold,,3,Thomas Morse,4.0,outside,0.2857424020767212,0.0,0.0,0.4
b672c1ee0bdd11eba7f7acde48001122,36,compositional,rank_removed_non_gold,,4,Walter Ulfig,5.0,outside,0.2689278721809387,0.0,0.0,0.3
b672c1ee0bdd11eba7f7acde48001122,36,compositional,selector_added_non_gold,lexical_hard_negative,14,Place of birth,15.0,11-20,0.35997509956359863,0.0,0.0,0.5
01309e5008bd11ebbd89ac1f6bf848b6,37,bridge_comparison,rank_removed_non_gold,,4,Werner Herzog,5.0,outside,0.05336005985736847,0.0,0.0,0.42857142857142855
01309e5008bd11ebbd89ac1f6bf848b6,37,bridge_comparison,selector_added_non_gold,lexical_hard_negative,5,Roger Corman,6.0,6-10,0.3001294434070587,0.0,0.0,0.35714285714285715
c5a00e860bda11eba7f7acde48001122,38,compositional,rank_retained_non_gold,,1,Victor Janson,2.0,outside,0.0666063129901886,0.0,0.0,0.0
c5a00e860bda11eba7f7acde48001122,38,compositional,rank_removed_non_gold,,3,Valley of Death,4.0,outside,0.27267420291900635,0.0,0.0,0.0
c5a00e860bda11eba7f7acde48001122,38,compositional,rank_removed_non_gold,,4,Where Was I,5.0,outside,0.011459918692708015,0.0,0.0,0.16666666666666666
c5a00e860bda11eba7f7acde48001122,38,compositional,selector_added_non_gold,low_signal_deep_negative,9,Allan Kroeker,10.0,6-10,0.18192382156848907,0.0,0.0,0.0
c5a00e860bda11eba7f7acde48001122,38,compositional,selector_added_non_gold,low_signal_deep_negative,32,"Archduke Franz Josef of Austria, Prince of Tuscany",33.0,21-50,0.11673194169998169,0.0,0.0,0.16666666666666666
434dea7708d211ebbd95ac1f6bf848b6,39,comparison,rank_removed_non_gold,,2,Dugès,3.0,outside,0.05725577473640442,0.0,0.0,0.0
434dea7708d211ebbd95ac1f6bf848b6,39,comparison,rank_removed_non_gold,,3,Pamela A. Barker,4.0,outside,0.21754440665245056,0.0,0.0,0.2222222222222222
434dea7708d211ebbd95ac1f6bf848b6,39,comparison,rank_removed_non_gold,,4,Pamela Harris (judge),5.0,outside,0.15215934813022614,0.0,0.0,0.2222222222222222
434dea7708d211ebbd95ac1f6bf848b6,39,comparison,selector_added_non_gold,low_signal_deep_negative,8,Archduchess Maria Elisabeth of Austria (1737–1740),9.0,6-10,0.16463685035705566,0.0,0.0,0.0
434dea7708d211ebbd95ac1f6bf848b6,39,comparison,selector_added_non_gold,low_signal_deep_negative,45,"Napier Sturt, 3rd Baron Alington",46.0,21-50,-0.013904597610235214,0.0,0.0,0.1111111111111111
434dea7708d211ebbd95ac1f6bf848b6,39,comparison,selector_added_non_gold,low_signal_deep_negative,49,Al-Fadl ibn Marwan,50.0,21-50,0.05562056601047516,0.0,0.0,0.1111111111111111
02b62fce087211ebbd64ac1f6bf848b6,40,bridge_comparison,rank_removed_non_gold,,3,The Warriors,4.0,outside,0.006363250315189362,0.0,0.0,0.0
