[START] setr_full1000 2026-05-03T23:26:54+08:00
[2026-05-04T00:00:20+08:00] START select_hotpotqa_hipporag_setr_k20_doc768
[2026-05-04T00:00:32+08:00] DONE select_2wikimultihopqa_hipporag_setr_k20_doc768
[2026-05-04T00:00:32+08:00] START apply_2wikimultihopqa_hipporag_setr_k20_doc768
[2026-05-04T00:00:34+08:00] DONE apply_2wikimultihopqa_hipporag_setr_k20_doc768
[2026-05-04T00:00:34+08:00] START eval_2wikimultihopqa_hipporag_setr_k20_doc768
[2026-05-04T00:04:45+08:00] DONE eval_2wikimultihopqa_hipporag_setr_k20_doc768
[2026-05-04T00:04:45+08:00] START export_2wikimultihopqa_hipporag_setr_k100_doc160
[2026-05-04T00:04:47+08:00] DONE export_2wikimultihopqa_hipporag_setr_k100_doc160
[2026-05-04T00:04:47+08:00] START select_2wikimultihopqa_hipporag_setr_k100_doc160
[2026-05-04T00:04:58+08:00] DONE select_hotpotqa_hipporag_setr_k20_doc768
[2026-05-04T00:04:58+08:00] START apply_hotpotqa_hipporag_setr_k20_doc768
[2026-05-04T00:05:00+08:00] DONE apply_hotpotqa_hipporag_setr_k20_doc768
[2026-05-04T00:05:00+08:00] START eval_hotpotqa_hipporag_setr_k20_doc768
[2026-05-04T00:08:49+08:00] DONE select_musique_dense_setr_windowed_k50_doc768
[2026-05-04T00:08:49+08:00] START apply_musique_dense_setr_windowed_k50_doc768
[2026-05-04T00:08:52+08:00] DONE apply_musique_dense_setr_windowed_k50_doc768
[2026-05-04T00:08:52+08:00] START eval_musique_dense_setr_windowed_k50_doc768
[2026-05-04T00:09:05+08:00] DONE eval_hotpotqa_hipporag_setr_k20_doc768
[2026-05-04T00:09:05+08:00] START export_hotpotqa_hipporag_setr_k100_doc160
[2026-05-04T00:09:08+08:00] DONE export_hotpotqa_hipporag_setr_k100_doc160
[2026-05-04T00:09:08+08:00] START select_hotpotqa_hipporag_setr_k100_doc160
[2026-05-04T00:13:06+08:00] DONE select_2wikimultihopqa_hipporag_setr_k100_doc160
[2026-05-04T00:13:06+08:00] START apply_2wikimultihopqa_hipporag_setr_k100_doc160
[2026-05-04T00:13:07+08:00] DONE apply_2wikimultihopqa_hipporag_setr_k100_doc160
[2026-05-04T00:13:07+08:00] START eval_2wikimultihopqa_hipporag_setr_k100_doc160
[2026-05-04T00:14:07+08:00] DONE eval_musique_dense_setr_windowed_k50_doc768
[2026-05-04T00:14:07+08:00] START export_musique_hipporag_setr_k20_doc768
[2026-05-04T00:14:08+08:00] DONE export_musique_hipporag_setr_k20_doc768
[2026-05-04T00:14:08+08:00] START select_musique_hipporag_setr_k20_doc768
[2026-05-04T00:16:44+08:00] DONE eval_2wikimultihopqa_hipporag_setr_k100_doc160
[2026-05-04T00:16:44+08:00] START select_2wikimultihopqa_hipporag_setr_windowed_k50_doc768
[2026-05-04T00:19:10+08:00] DONE select_musique_hipporag_setr_k20_doc768
[2026-05-04T00:19:10+08:00] START apply_musique_hipporag_setr_k20_doc768
[2026-05-04T00:19:13+08:00] DONE apply_musique_hipporag_setr_k20_doc768
[2026-05-04T00:19:13+08:00] START eval_musique_hipporag_setr_k20_doc768
[2026-05-04T00:19:47+08:00] DONE select_hotpotqa_hipporag_setr_k100_doc160
[2026-05-04T00:19:47+08:00] START apply_hotpotqa_hipporag_setr_k100_doc160
[2026-05-04T00:19:49+08:00] DONE apply_hotpotqa_hipporag_setr_k100_doc160
[2026-05-04T00:19:49+08:00] START eval_hotpotqa_hipporag_setr_k100_doc160
[2026-05-04T00:24:09+08:00] DONE eval_hotpotqa_hipporag_setr_k100_doc160
[2026-05-04T00:24:09+08:00] START select_hotpotqa_hipporag_setr_windowed_k50_doc768
[2026-05-04T00:28:16+08:00] DONE eval_musique_hipporag_setr_k20_doc768
[2026-05-04T00:28:16+08:00] START export_musique_hipporag_setr_k100_doc160
[2026-05-04T00:28:18+08:00] DONE export_musique_hipporag_setr_k100_doc160
[2026-05-04T00:28:18+08:00] START select_musique_hipporag_setr_k100_doc160
[2026-05-04T00:29:53+08:00] DONE select_2wikimultihopqa_hipporag_setr_windowed_k50_doc768
[2026-05-04T00:29:53+08:00] START apply_2wikimultihopqa_hipporag_setr_windowed_k50_doc768
[2026-05-04T00:29:55+08:00] DONE apply_2wikimultihopqa_hipporag_setr_windowed_k50_doc768
[2026-05-04T00:29:55+08:00] START eval_2wikimultihopqa_hipporag_setr_windowed_k50_doc768
[2026-05-04T00:32:21+08:00] DONE eval_2wikimultihopqa_hipporag_setr_windowed_k50_doc768
[2026-05-04T00:32:21+08:00] START export_2wikimultihopqa_proprag_setr_k20_doc768
[2026-05-04T00:32:22+08:00] DONE export_2wikimultihopqa_proprag_setr_k20_doc768
[2026-05-04T00:32:22+08:00] START select_2wikimultihopqa_proprag_setr_k20_doc768
[2026-05-04T00:36:40+08:00] DONE select_2wikimultihopqa_proprag_setr_k20_doc768
[2026-05-04T00:36:40+08:00] START apply_2wikimultihopqa_proprag_setr_k20_doc768
[2026-05-04T00:36:42+08:00] DONE apply_2wikimultihopqa_proprag_setr_k20_doc768
[2026-05-04T00:36:42+08:00] START eval_2wikimultihopqa_proprag_setr_k20_doc768
[2026-05-04T00:38:01+08:00] DONE select_hotpotqa_hipporag_setr_windowed_k50_doc768
[2026-05-04T00:38:01+08:00] START apply_hotpotqa_hipporag_setr_windowed_k50_doc768
[2026-05-04T00:38:03+08:00] DONE apply_hotpotqa_hipporag_setr_windowed_k50_doc768
[2026-05-04T00:38:03+08:00] START eval_hotpotqa_hipporag_setr_windowed_k50_doc768
[2026-05-04T00:39:36+08:00] DONE eval_2wikimultihopqa_proprag_setr_k20_doc768
[2026-05-04T00:39:36+08:00] START export_2wikimultihopqa_proprag_setr_k100_doc160
[2026-05-04T00:39:36+08:00] DONE select_musique_hipporag_setr_k100_doc160
[2026-05-04T00:39:36+08:00] START apply_musique_hipporag_setr_k100_doc160
[2026-05-04T00:39:38+08:00] DONE export_2wikimultihopqa_proprag_setr_k100_doc160
[2026-05-04T00:39:38+08:00] START select_2wikimultihopqa_proprag_setr_k100_doc160
[2026-05-04T00:39:38+08:00] DONE apply_musique_hipporag_setr_k100_doc160
[2026-05-04T00:39:38+08:00] START eval_musique_hipporag_setr_k100_doc160
[2026-05-04T00:40:12+08:00] DONE eval_hotpotqa_hipporag_setr_windowed_k50_doc768
[2026-05-04T00:40:12+08:00] START export_hotpotqa_proprag_setr_k20_doc768
[2026-05-04T00:40:13+08:00] DONE export_hotpotqa_proprag_setr_k20_doc768
[2026-05-04T00:40:13+08:00] START select_hotpotqa_proprag_setr_k20_doc768
[2026-05-04T00:44:53+08:00] DONE select_hotpotqa_proprag_setr_k20_doc768
[2026-05-04T00:44:53+08:00] START apply_hotpotqa_proprag_setr_k20_doc768
[2026-05-04T00:44:55+08:00] DONE apply_hotpotqa_proprag_setr_k20_doc768
[2026-05-04T00:44:55+08:00] START eval_hotpotqa_proprag_setr_k20_doc768
[2026-05-04T00:47:18+08:00] DONE eval_musique_hipporag_setr_k100_doc160
[2026-05-04T00:47:18+08:00] START select_musique_hipporag_setr_windowed_k50_doc768
[2026-05-04T00:47:45+08:00] DONE eval_hotpotqa_proprag_setr_k20_doc768
[2026-05-04T00:47:45+08:00] START export_hotpotqa_proprag_setr_k100_doc160
[2026-05-04T00:47:48+08:00] DONE export_hotpotqa_proprag_setr_k100_doc160
[2026-05-04T00:47:48+08:00] START select_hotpotqa_proprag_setr_k100_doc160
[2026-05-04T00:48:03+08:00] DONE select_2wikimultihopqa_proprag_setr_k100_doc160
[2026-05-04T00:48:03+08:00] START apply_2wikimultihopqa_proprag_setr_k100_doc160
[2026-05-04T00:48:05+08:00] DONE apply_2wikimultihopqa_proprag_setr_k100_doc160
[2026-05-04T00:48:05+08:00] START eval_2wikimultihopqa_proprag_setr_k100_doc160
[2026-05-04T00:51:29+08:00] DONE eval_2wikimultihopqa_proprag_setr_k100_doc160
[2026-05-04T00:51:29+08:00] START select_2wikimultihopqa_proprag_setr_windowed_k50_doc768
[2026-05-04T00:59:05+08:00] DONE select_hotpotqa_proprag_setr_k100_doc160
[2026-05-04T00:59:05+08:00] START apply_hotpotqa_proprag_setr_k100_doc160
[2026-05-04T00:59:07+08:00] DONE apply_hotpotqa_proprag_setr_k100_doc160
[2026-05-04T00:59:07+08:00] START eval_hotpotqa_proprag_setr_k100_doc160
[2026-05-04T01:02:53+08:00] DONE select_musique_hipporag_setr_windowed_k50_doc768
[2026-05-04T01:02:53+08:00] START apply_musique_hipporag_setr_windowed_k50_doc768
[2026-05-04T01:02:55+08:00] DONE apply_musique_hipporag_setr_windowed_k50_doc768
[2026-05-04T01:02:55+08:00] START eval_musique_hipporag_setr_windowed_k50_doc768
[2026-05-04T01:03:18+08:00] DONE eval_hotpotqa_proprag_setr_k100_doc160
[2026-05-04T01:03:18+08:00] START select_hotpotqa_proprag_setr_windowed_k50_doc768
[2026-05-04T01:04:05+08:00] DONE select_2wikimultihopqa_proprag_setr_windowed_k50_doc768
[2026-05-04T01:04:05+08:00] START apply_2wikimultihopqa_proprag_setr_windowed_k50_doc768
[2026-05-04T01:04:07+08:00] DONE apply_2wikimultihopqa_proprag_setr_windowed_k50_doc768
[2026-05-04T01:04:07+08:00] START eval_2wikimultihopqa_proprag_setr_windowed_k50_doc768
[2026-05-04T01:06:07+08:00] DONE eval_2wikimultihopqa_proprag_setr_windowed_k50_doc768
[2026-05-04T01:09:15+08:00] DONE eval_musique_hipporag_setr_windowed_k50_doc768
[2026-05-04T01:09:15+08:00] START export_musique_proprag_setr_k20_doc768
[2026-05-04T01:09:17+08:00] DONE export_musique_proprag_setr_k20_doc768
[2026-05-04T01:09:17+08:00] START select_musique_proprag_setr_k20_doc768
[2026-05-04T01:14:24+08:00] DONE select_musique_proprag_setr_k20_doc768
[2026-05-04T01:14:24+08:00] START apply_musique_proprag_setr_k20_doc768
[2026-05-04T01:14:27+08:00] DONE apply_musique_proprag_setr_k20_doc768
[2026-05-04T01:14:27+08:00] START eval_musique_proprag_setr_k20_doc768
[2026-05-04T01:17:21+08:00] DONE select_hotpotqa_proprag_setr_windowed_k50_doc768
[2026-05-04T01:17:21+08:00] START apply_hotpotqa_proprag_setr_windowed_k50_doc768
[2026-05-04T01:17:24+08:00] DONE apply_hotpotqa_proprag_setr_windowed_k50_doc768
[2026-05-04T01:17:24+08:00] START eval_hotpotqa_proprag_setr_windowed_k50_doc768
[2026-05-04T01:18:57+08:00] DONE eval_hotpotqa_proprag_setr_windowed_k50_doc768
[2026-05-04T01:21:22+08:00] DONE eval_musique_proprag_setr_k20_doc768
[2026-05-04T01:21:22+08:00] START export_musique_proprag_setr_k100_doc160
[2026-05-04T01:21:25+08:00] DONE export_musique_proprag_setr_k100_doc160
[2026-05-04T01:21:25+08:00] START select_musique_proprag_setr_k100_doc160
[2026-05-04T01:34:22+08:00] DONE select_musique_proprag_setr_k100_doc160
[2026-05-04T01:34:22+08:00] START apply_musique_proprag_setr_k100_doc160
[2026-05-04T01:34:25+08:00] DONE apply_musique_proprag_setr_k100_doc160
[2026-05-04T01:34:25+08:00] START eval_musique_proprag_setr_k100_doc160
[2026-05-04T01:42:39+08:00] DONE eval_musique_proprag_setr_k100_doc160
[2026-05-04T01:42:39+08:00] START select_musique_proprag_setr_windowed_k50_doc768
[2026-05-04T01:58:20+08:00] DONE select_musique_proprag_setr_windowed_k50_doc768
[2026-05-04T01:58:20+08:00] START apply_musique_proprag_setr_windowed_k50_doc768
[2026-05-04T01:58:23+08:00] DONE apply_musique_proprag_setr_windowed_k50_doc768
[2026-05-04T01:58:23+08:00] START eval_musique_proprag_setr_windowed_k50_doc768
[2026-05-04T02:04:10+08:00] DONE eval_musique_proprag_setr_windowed_k50_doc768
