dataset,query_idx,step,out_position,out_title,in_position,in_title,objective_gain,retriever_rank_loss,adjusted_gain
2wikimultihopqa,129,1,1,Ramón Hernández (beach volleyball),60,Hélène Grenier,0.049398,0.798995,0.049398
2wikimultihopqa,130,1,3,Brother Rat and a Baby,85,Henry King (director),0.25,0.914573,0.25
2wikimultihopqa,131,1,2,Mafalda von Hessen,9,Archduchess Elisabeth Amalie of Austria,0.333333,0.537688,0.333333
2wikimultihopqa,133,1,2,Robert G. Vignola,9,John Veltri,0.01195,0.537688,0.01195
2wikimultihopqa,134,1,1,Vasili Pichul,90,Edward Sedgwick,0.246177,0.949749,0.246177
2wikimultihopqa,137,1,2,Thiruvannamalai (film),9,Lloyd (film),0.026013,0.537688,0.026013
2wikimultihopqa,138,1,1,Solomon II of Imereti,99,Theodred II (Bishop of Elmham),0.051595,0.994975,0.051595
2wikimultihopqa,140,1,3,La Boum 2,11,Claude Pinoteau,0.25,0.542714,0.25
2wikimultihopqa,142,1,1,Romanoff and Juliet (1961 film),6,Christopher Robinson,0.007241,0.527638,0.007241
2wikimultihopqa,143,1,3,Goopy Bagha Phire Elo,10,Satyajit Ray,0.224796,0.537688,0.224796
2wikimultihopqa,147,1,2,Cecile of Baux,17,"Isabella of France, Queen of Navarre",0.333333,0.577889,0.333333
2wikimultihopqa,149,1,2,Forbidden Ground (2013 film),81,Pál Gábor,0.161528,0.899497,0.161528
2wikimultihopqa,151,1,1,Dancing in the Rain (film),11,Sky Magazine,0.003721,0.552764,0.003721
2wikimultihopqa,154,1,2,The Power (1984 film),50,A Matter of Life and Death,0.018333,0.743719,0.018333
2wikimultihopqa,157,1,2,"Anna Amalia, Abbess of Quedlinburg",9,"Christian August, Prince of Anhalt-Zerbst",0.333333,0.537688,0.333333
2wikimultihopqa,160,1,2,Miloš Zličić,11,Peter Gravesen,0.003746,0.547739,0.003746
2wikimultihopqa,163,1,2,Al-Mu'ayyad,12,Harun al-Rashid,0.5,0.552764,0.5
2wikimultihopqa,165,1,1,Henry King (director),26,Clement Virgo,0.240806,0.628141,0.240806
2wikimultihopqa,167,1,1,"Sigramnus, Count of Hesbaye",7,Lothair II,0.333333,0.532663,0.333333
2wikimultihopqa,167,2,2,"Ingerman, Count of Hesbaye",14,Louis the Pious,0.333333,0.562814,0.333333
2wikimultihopqa,168,1,1,Google,17,One and Five,0.005328,0.582915,0.005328
2wikimultihopqa,169,1,3,Eagle Feather,21,Edward Sloman,0.224489,0.592965,0.224489
2wikimultihopqa,170,1,3,The Wanted 18,21,Gérard Oury,0.25,0.592965,0.25
2wikimultihopqa,171,1,1,Anthony Mann,16,Gérard Oury,0.25,0.577889,0.25
2wikimultihopqa,171,2,3,Georges Méliès,63,Kevin S. Tenney,0.25,0.80402,0.25
2wikimultihopqa,173,1,1,Sigrid Sture,89,Arthur Beauchamp,0.000675,0.944724,0.000675
2wikimultihopqa,174,1,3,Three for Happiness,21,Jean Negulesco,0.25,0.592965,0.25
2wikimultihopqa,176,1,2,The First Day of Freedom,12,A House of Sand,0.004984,0.552764,0.004984
2wikimultihopqa,178,1,1,"Claude Bowes-Lyon, 13th Earl of Strathmore and Kinghorne",5,"Thomas Lyon-Bowes, 11th Earl of Strathmore and Kinghorne",0.464526,0.522613,0.464526
2wikimultihopqa,179,1,2,The Complaint of an Empress,7,God of War (film),0.018993,0.527638,0.018993
2wikimultihopqa,180,1,1,Marco Ferreri,13,Laurent Tirard,0.5,0.562814,0.5
2wikimultihopqa,182,1,1,Oei Hui-lan,9,Charles Arthur Tabberer,0.013929,0.542714,0.013929
2wikimultihopqa,186,1,1,Edsel Ford,6,Henry Ford,0.5,0.527638,0.5
2wikimultihopqa,187,1,2,Atang de la Rama,14,Frankenstein Conquers the World,0.002349,0.562814,0.002349
2wikimultihopqa,188,1,1,True to the Navy,7,George Sherman,0.25,0.532663,0.25
2wikimultihopqa,188,2,3,Mabel Cheung,14,Lawrence Huntington,0.246794,0.557789,0.246794
2wikimultihopqa,190,1,2,Puka Qallpa,39,Xue Song (badminton),0.012556,0.688442,0.012556
2wikimultihopqa,192,1,1,Donnie Elbert,9,Let Me Out,0.001051,0.542714,0.001051
2wikimultihopqa,193,1,1,Oei Tiong Ham,8,Steve Miller,0.022697,0.537688,0.022697
2wikimultihopqa,195,1,1,A Better Tomorrow II,16,Raj Kanwar,0.25,0.577889,0.25
2wikimultihopqa,197,1,2,Gerald Patterson,10,Steve Cooreman,0.006248,0.542714,0.006248
2wikimultihopqa,198,1,1,Herbert Selpin,16,Konrad Wolf,0.25,0.577889,0.25
2wikimultihopqa,199,1,3,Jack Arnold (director),61,Harold D. Schuster,0.161263,0.79397,0.161263
2wikimultihopqa,204,1,1,Die Mutter,12,Keith Moon,0.5,0.557789,0.5
2wikimultihopqa,205,1,3,Jim Wynorski,21,Jules White,0.25,0.592965,0.25
2wikimultihopqa,206,1,2,Helen Taylor (writer),27,Héctor Barrantes,0.333333,0.628141,0.333333
2wikimultihopqa,210,1,1,Vincenzo Lapuma,83,Boy or Girl?,0.006116,0.914573,0.006116
2wikimultihopqa,210,2,2,Lorenzo Sabbatini,9,Maria da Graça Carvalho,6.2e-05,0.537688,6.2e-05
2wikimultihopqa,213,1,3,Archduke Maximilian of Austria-Este,9,Maria Theresa of Austria-Este (1849–1919),0.335159,0.532663,0.335159
2wikimultihopqa,213,2,1,Maria Ludovika of Austria-Este,6,Archduchess Elisabeth Amalie of Austria,0.000672,0.527638,0.000672
2wikimultihopqa,215,1,1,P. Bhaskaran,21,Mabel Cheung,0.220787,0.603015,0.220787
2wikimultihopqa,216,1,2,Four Girls from Hong Kong,30,Invasion of the Neptune Men,0.000428,0.643216,0.000428
2wikimultihopqa,217,1,1,Karl Maka,9,Enzo G. Castellari,0.25,0.542714,0.25
2wikimultihopqa,217,2,3,My Name Is Nobody,21,Ann Hui,0.212095,0.592965,0.212095
2wikimultihopqa,218,1,1,Frédéric Mitterrand,5,Louie Psihoyos,0.25,0.522613,0.25
2wikimultihopqa,222,1,3,Safe Haven (film),48,Lasse Hallström,0.25,0.728643,0.25
2wikimultihopqa,224,1,2,Princess Alia bint Hussein,16,"Princess Elisabeth, Duchess of Brabant",0.000272,0.572864,0.000272
2wikimultihopqa,228,1,3,José Luis Cuerda,23,Manuel Romero,0.183078,0.603015,0.183078
2wikimultihopqa,230,1,1,Ven a bailar conmigo,89,Boy or Girl?,0.00085,0.944724,0.00085
2wikimultihopqa,231,1,2,John Augustus Fuller,14,Charles Arthur Tabberer,0.005257,0.562814,0.005257
2wikimultihopqa,232,1,1,Return of the Jedi,10,One and Five,0.068891,0.547739,0.068891
2wikimultihopqa,234,1,1,Sabika bint Ibrahim Al Khalifa,5,Isa bin Salman Al Khalifa,0.333333,0.522613,0.333333
2wikimultihopqa,234,2,2,Abdullah bin Hamad bin Isa Al Khalifa,17,Kaya Alp,0.333333,0.577889,0.333333
2wikimultihopqa,239,1,1,Behind Locked Doors (1991 film),10,Matthias Drawe,0.5,0.547739,0.5
2wikimultihopqa,240,1,1,Robert Vere Buxton,9,Dugès,0.067327,0.542714,0.067327
2wikimultihopqa,242,1,3,Wisit Sasanatieng,20,Thomas Jahn,0.242717,0.58794,0.242717
2wikimultihopqa,244,1,4,Peter Glenville,27,Philip Ford (film director),0.25,0.61809,0.25
2wikimultihopqa,247,1,2,Dasari Narayana Rao,13,I. V. Sasi,0.000852,0.557789,0.000852
2wikimultihopqa,249,1,3,Hitler – Dead or Alive,51,John Farrow,0.17159,0.743719,0.17159
2wikimultihopqa,250,1,1,Mel Stuart,12,Nanni Loy,0.25,0.557789,0.25
2wikimultihopqa,250,2,3,Her First Romance,46,Wilfred Lucas,0.210221,0.718593,0.210221
2wikimultihopqa,252,1,1,Francis Buxton,5,Abdul-Vahed Niyazov,0.078631,0.522613,0.078631
2wikimultihopqa,253,1,1,Oei Tiong Ham,6,Mary Jane Warnes,0.001069,0.527638,0.001069
2wikimultihopqa,254,1,1,Henri Decoin,10,Gérard Oury,0.25,0.547739,0.25
2wikimultihopqa,254,2,3,Norman Taurog,15,TK McKamy,0.25,0.562814,0.25
2wikimultihopqa,262,1,3,Lina Wertmüller,11,Po-Chih Leong,0.25,0.542714,0.25
2wikimultihopqa,263,1,1,Ayumi Hamasaki,12,Charles Arthur Tabberer,0.000599,0.557789,0.000599
2wikimultihopqa,264,1,2,Bruce McCandless,15,B. Joseph Pine II,0.020836,0.567839,0.020836
2wikimultihopqa,266,1,3,Doris Wishman,14,Jules White,0.25,0.557789,0.25
2wikimultihopqa,267,1,1,Sidonius Apollinaris,20,Stan Rice,0.01052,0.59799,0.01052
2wikimultihopqa,269,1,2,Mine Safety and Health News,19,Abdul-Vahed Niyazov,0.077994,0.58794,0.077994
2wikimultihopqa,270,1,1,Priscilla Pointer,15,I Am... Gabriel,0.028517,0.572864,0.028517
2wikimultihopqa,272,1,3,Liz Garbus,8,Ian Barry (director),0.25,0.527638,0.25
2wikimultihopqa,274,1,1,Wolfgang Schleif,5,Richard Pottier,0.25,0.522613,0.25
2wikimultihopqa,274,2,3,Las Aventuras de Pikín,15,Juan Bustillo Oro,0.230288,0.562814,0.230288
2wikimultihopqa,275,1,2,"Claude Bowes-Lyon, 13th Earl of Strathmore and Kinghorne",9,Lars Eliasson,0.046775,0.537688,0.046775
2wikimultihopqa,276,1,1,Battle in Seattle,5,Four Minute Mile,0.000891,0.522613,0.000891
2wikimultihopqa,279,1,1,Jerry Warren,63,Maurice Elvey,0.25,0.81407,0.25
2wikimultihopqa,279,2,3,Gurinder Chadha,21,Annabel Jankel,0.235776,0.592965,0.235776
2wikimultihopqa,280,1,1,"Christian August of Holstein-Gottorp, Prince of Eutin",18,Mario Bava,0.003032,0.58794,0.003032
2wikimultihopqa,281,1,3,Martin Frič,13,Aki Kaurismäki,0.251931,0.552764,0.251931
2wikimultihopqa,281,2,2,Miloš Forman,20,Mr. Ace,0.005082,0.592965,0.005082
2wikimultihopqa,285,1,1,Paul Hamilton (politician),12,Amaury de Montfort (died 1241),0.023758,0.557789,0.023758
2wikimultihopqa,290,1,1,Michael Curtiz,89,Battle in Outer Space,0.032304,0.944724,0.032304
2wikimultihopqa,293,1,1,Peter Greenaway,19,Claire's Knee,0.000174,0.592965,0.000174
2wikimultihopqa,294,1,1,"Franz, Duke of Hohenberg",13,Princess Elisabeth of Anhalt,0.333333,0.562814,0.333333
2wikimultihopqa,294,2,2,"Georg, Duke of Hohenberg",15,Archduke Franz Karl of Austria,0.317602,0.567839,0.317602
2wikimultihopqa,297,1,1,Pharoahe Monch,10,Place of birth,0.006834,0.547739,0.006834
2wikimultihopqa,298,1,3,The Greater Glory,20,Harry Beaumont,0.25,0.58794,0.25
2wikimultihopqa,300,1,1,Abdullah ibn Muhammad,15,Wojciech Has,8.4e-05,0.572864,8.4e-05
2wikimultihopqa,302,1,1,"John III, Duke of Cleves",35,"Margaret of Bavaria, Electress Palatine",0.333333,0.673367,0.333333
2wikimultihopqa,303,1,3,William A. Wellman,21,Phillips Smalley,0.227984,0.592965,0.227984
2wikimultihopqa,305,1,1,Merle Bettenhausen,10,Charles Arthur Tabberer,0.039499,0.547739,0.039499
2wikimultihopqa,306,1,1,Peter Greenaway,72,Place of birth,0.031753,0.859296,0.031753
2wikimultihopqa,309,1,1,Archduchess Maria Carolina of Austria (1740–1741),16,Princess Maria Immaculata of Bourbon-Two Sicilies (1844–1899),0.5,0.577889,0.5
2wikimultihopqa,310,1,2,The Pleasure,7,One and Five,0.001285,0.527638,0.001285
2wikimultihopqa,312,1,2,The Courier of Lyon,10,Gérard Oury,0.25,0.542714,0.25
2wikimultihopqa,313,1,1,Seymour Friedman,21,Monta Bell,0.25,0.603015,0.25
2wikimultihopqa,313,2,3,A Doctor's Diary,63,Charles Vidor,0.202076,0.80402,0.202076
2wikimultihopqa,315,1,2,Gauthier Destenay,81,Place of birth,0.151026,0.899497,0.151026
2wikimultihopqa,321,1,1,Roy Rowland (film director),7,Howard W. Koch,0.5,0.532663,0.5
2wikimultihopqa,322,1,3,One Sunday Afternoon,38,Raoul Walsh,0.205704,0.678392,0.205704
2wikimultihopqa,324,1,1,Martin Frič,21,Philip Saville,0.25,0.603015,0.25
2wikimultihopqa,324,2,3,Helmut Käutner,41,Michael Curtiz,0.245549,0.693467,0.245549
2wikimultihopqa,327,1,1,Greg A. Hill (artist),62,John Scott-Oldfield,0.00687,0.809045,0.00687
2wikimultihopqa,329,1,1,Chris Brown,10,Never Have to Be Alone,0.028886,0.547739,0.028886
2wikimultihopqa,330,1,1,Rhosgoch,62,Tree Without Leaves,0.054095,0.809045,0.054095
2wikimultihopqa,331,1,1,"Walter Montagu Douglas Scott, 8th Duke of Buccleuch",5,"Yolande of Dreux, Duchess of Burgundy",0.333333,0.522613,0.333333
2wikimultihopqa,331,2,2,"Mary of Burgundy, Duchess of Cleves",65,Wilhelm I of Limburg,0.333333,0.819095,0.333333
2wikimultihopqa,332,1,2,The Private Life of Cinema,10,A House of Sand,0.006823,0.542714,0.006823
2wikimultihopqa,333,1,1,Ramiro Sánchez,6,El Cid,0.5,0.527638,0.5
2wikimultihopqa,345,1,1,Victor Janson,17,Konjiki no Gash Bell!! Movie 2: Attack of the Mecha-Vulcan,0.017504,0.582915,0.017504
2wikimultihopqa,347,1,2,William Keighley,35,Eduard von Borsody,0.25,0.668342,0.25
2wikimultihopqa,350,1,1,Peter Ustinov,12,Alberto Lattuada,0.5,0.557789,0.5
2wikimultihopqa,356,1,3,Eddie Romero,46,Wilfred Lucas,0.25,0.718593,0.25
2wikimultihopqa,358,1,1,Philip Saville,37,Ray Taylor (director),0.25,0.683417,0.25
2wikimultihopqa,358,2,3,Clarence Brown,21,Joseph Henabery,0.208951,0.592965,0.208951
2wikimultihopqa,361,1,3,Monta Bell,89,Clarence Brown,0.000384,0.934673,0.000384
2wikimultihopqa,362,1,2,Infanta María de la Paz of Spain,8,Princess Maria Antonia of Parma,0.000225,0.532663,0.000225
2wikimultihopqa,363,1,2,Pepo (film),52,Luis Manuel Díaz,0.011594,0.753769,0.011594
2wikimultihopqa,364,1,2,Princess Charlotte of Württemberg,12,Archduchess Elisabeth Amalie of Austria,0.333333,0.552764,0.333333
2wikimultihopqa,367,1,1,Adolf of Limburg,11,Dietrich III of Limburg-Styrum,0.333333,0.552764,0.333333
2wikimultihopqa,373,1,3,Dr. Goldfoot and the Bikini Machine,76,Norman Taurog,0.227217,0.869347,0.227217
2wikimultihopqa,374,1,1,Fridrikh Ermler,6,Rumbi Katedza,0.5,0.527638,0.5
2wikimultihopqa,375,1,1,Louis Matheson,16,The Bees,0.013778,0.577889,0.013778
2wikimultihopqa,376,1,1,K. Raghavendra Rao,65,Hieronymus Payer,0.000156,0.824121,0.000156
2wikimultihopqa,378,1,1,Danny Barker,53,Archduchess Maria Theresa of Austria (1762–1770),0.018441,0.763819,0.018441
2wikimultihopqa,379,1,3,Henry Hathaway,27,Gordon Douglas (director),0.23556,0.623116,0.23556
2wikimultihopqa,382,1,2,Pat Boone,92,Little Fire,0.009039,0.954774,0.009039
2wikimultihopqa,383,1,2,Kim Rossi Stuart,6,John Ross,0.006298,0.522613,0.006298
2wikimultihopqa,385,1,2,"Rotrou IV, Count of Perche",22,"Hugh de Lacy, Lord of Meath",0.5,0.603015,0.5
2wikimultihopqa,386,1,2,Johann Sebastian Bach,17,Lars Eliasson,0.333333,0.577889,0.333333
2wikimultihopqa,389,1,3,Knockout Kid,6,Jai Al-Attas,0.25,0.517588,0.25
2wikimultihopqa,392,1,3,Raoul Walsh,21,John G. Adolfi,0.193429,0.592965,0.193429
2wikimultihopqa,393,1,3,Tree Without Leaves,17,Sepideh Farsi,0.25,0.572864,0.25
2wikimultihopqa,394,1,1,Maigret and the Man on the Boulevard,54,José Luis Garci,0.000879,0.768844,0.000879
2wikimultihopqa,395,1,2,The Gentle Sex,6,Zulu Love Letter,0.021121,0.522613,0.021121
2wikimultihopqa,401,1,1,Archibald Hamilton Rowan,7,Paul Hamilton (politician),0.5,0.532663,0.5
2wikimultihopqa,403,1,2,By the Grace of God (disambiguation),18,Tree Without Leaves,0.052509,0.582915,0.052509
2wikimultihopqa,404,1,1,King Charles the Martyr,7,"Sir Thomas Southwell, 1st Baronet",0.003967,0.532663,0.003967
2wikimultihopqa,406,1,1,Halit Refiğ,8,Ertem Eğilmez,0.25,0.537688,0.25
2wikimultihopqa,407,1,1,"Elizabeth Somerset, Baroness Herbert",10,Lord Edmund Howard,0.000212,0.547739,0.000212
2wikimultihopqa,408,1,1,It's Never Been Like That,39,"Blood, Sweat & Tears (Blood, Sweat & Tears album)",0.000552,0.693467,0.000552
2wikimultihopqa,410,1,1,Fabio De Luigi,9,Kim Rossi Stuart,0.0027,0.542714,0.0027
2wikimultihopqa,411,1,3,Fritz Lang,23,Mauro Bolognini,0.25,0.603015,0.25
2wikimultihopqa,412,1,3,Eyes of Texas (film),21,Charles Giblyn,0.214061,0.592965,0.214061
2wikimultihopqa,413,1,1,Bayin Htwe,83,Michael Mavroudis,0.013631,0.914573,0.013631
2wikimultihopqa,416,1,1,"Henry, Prince of Nassau-Dillenburg",6,Countess Anna of Nassau,0.5,0.527638,0.5
2wikimultihopqa,418,1,2,"Henry Somerset, 2nd Earl of Worcester",5,Lars Eliasson,0.333333,0.517588,0.333333
2wikimultihopqa,419,1,2,Behind the Rainbow,18,I Am... Gabriel,0.005373,0.582915,0.005373
2wikimultihopqa,420,1,3,K. Raghavendra Rao,13,Adurthi Subba Rao,0.236058,0.552764,0.236058
2wikimultihopqa,423,1,3,Jean-Paul Salomé,21,Steno (director),0.25,0.592965,0.25
2wikimultihopqa,424,1,2,Sunnyside Christian High School,99,Place of birth,0.012281,0.98995,0.012281
2wikimultihopqa,427,1,3,Harry Beaumont,6,Bertrand Tavernier,0.000152,0.517588,0.000152
2wikimultihopqa,428,1,1,Bert Jansch,99,Little Fire,0.035437,0.994975,0.035437
2wikimultihopqa,429,1,1,Mario Bonnard,5,Jules White,0.25,0.522613,0.25
2wikimultihopqa,429,2,3,My Three Merry Widows,27,Julio Saraceni,0.240739,0.623116,0.240739
2wikimultihopqa,430,1,1,Lady Rose McLaren,37,Place of birth,0.028769,0.683417,0.028769
2wikimultihopqa,432,1,2,"Eleanor Beauchamp, Duchess of Somerset",29,Khalid Abdel Nasser,0.001106,0.638191,0.001106
2wikimultihopqa,434,1,2,Goldilocks and the Three Bears (Faerie Tale Theatre),69,Frankenstein Conquers the World,0.004241,0.839196,0.004241
2wikimultihopqa,435,1,1,Robert Emmett Tansey,5,George Sherman,0.25,0.522613,0.25
2wikimultihopqa,435,2,3,Curry and Pepper,21,Sergio Martino,0.184307,0.592965,0.184307
2wikimultihopqa,436,1,1,Doug Liman,13,Michael Lehmann,0.25,0.562814,0.25
2wikimultihopqa,437,1,3,Arthur Hiller,21,Charles J. Hunt,0.25,0.592965,0.25
2wikimultihopqa,439,1,2,M. Nurul Islam,14,Aleksandar Loma,0.012219,0.562814,0.012219
2wikimultihopqa,446,1,2,Grand Duchess Maria Vladimirovna of Russia,17,Archduchess Elisabeth Amalie of Austria,0.333333,0.577889,0.333333
2wikimultihopqa,450,1,2,"Georg, Duke of Hohenberg",67,"Maximilian II Emanuel, Elector of Bavaria",0.333333,0.829146,0.333333
2wikimultihopqa,451,1,2,Pattom A. Thanu Pillai,9,B. Joseph Pine II,0.056822,0.537688,0.056822
2wikimultihopqa,454,1,1,Fort Nelson Airport,14,Shkodër Airfield,0.041605,0.567839,0.041605
2wikimultihopqa,455,1,2,"Elizabeth Howard, Countess of Effingham",5,Hannah Arnold,0.333333,0.517588,0.333333
2wikimultihopqa,456,1,2,"Charles, Count of Valois",9,Charlemagne,0.333333,0.537688,0.333333
2wikimultihopqa,458,1,3,Puttanna Kanagal,60,G. Aravindan,0.25,0.788945,0.25
2wikimultihopqa,459,1,1,Waspman,17,Alfons Zitterbacke,0.005145,0.582915,0.005145
2wikimultihopqa,460,1,1,Iván Noel,6,Amedeo Escobar,0.5,0.527638,0.5
2wikimultihopqa,463,1,1,Place of origin,21,Place of birth,0.027097,0.603015,0.027097
2wikimultihopqa,464,1,1,Ken Burns,22,Jean-Pierre-Xavier Bidauld,0.001268,0.60804,0.001268
2wikimultihopqa,465,1,2,Sirivantha,13,A House of Sand,0.018105,0.557789,0.018105
2wikimultihopqa,466,1,2,Marie Jeanne Baptiste of Savoy-Nemours,71,Gytha Thorkelsdóttir,0.333333,0.849246,0.333333
2wikimultihopqa,468,1,2,Roman Polanski,18,Christopher Robinson,0.019193,0.582915,0.019193
2wikimultihopqa,469,1,3,The Naked Truth (1914 film),8,Helmut Weiss,0.25,0.527638,0.25
2wikimultihopqa,470,1,1,"Maria Teresa, Grand Duchess of Luxembourg",6,Tamatoa V,0.5,0.527638,0.5
2wikimultihopqa,473,1,3,Blake Edwards,5,Steno (director),0.25,0.512563,0.25
