dataset,query_index,method,gold_title,source_best_gold_rank,hit_at_5,new_hit_at_5,selected_titles_json
MuSiQue,39,rankgpt_rank5_no_think,World Series,58,0,0,"[""1999 Major League Baseball draft"", ""Major League Baseball Most Valuable Player Award"", ""World Series Most Valuable Player Award"", ""Hart Memorial Trophy"", ""Major League Baseball All-Star Game Most Valuable Player Award""]"
MuSiQue,39,rankgpt_select5_no_think,World Series,58,0,0,"[""1999 Major League Baseball draft"", ""Major League Baseball Most Valuable Player Award"", ""World Series Most Valuable Player Award"", ""Hart Memorial Trophy"", ""LeBron James""]"
MuSiQue,39,setr_faithful,World Series,58,0,0,"[""1999 Major League Baseball draft"", ""Major League Baseball Most Valuable Player Award"", ""Hart Memorial Trophy"", ""Major League Baseball draft"", ""Major League Baseball draft""]"
MuSiQue,39,source_order,World Series,58,0,0,"[""Major League Baseball draft"", ""Hart Memorial Trophy"", ""Major League Baseball draft"", ""World Series Most Valuable Player Award"", ""Major League Baseball Most Valuable Player Award""]"
MuSiQue,39,dbec_selective,New York Yankees,51,0,0,"[""Major League Baseball draft"", ""Major League Baseball Most Valuable Player Award"", ""1999 Major League Baseball draft"", ""Major League Baseball draft"", ""Hart Memorial Trophy""]"
MuSiQue,39,rankgpt_rank5_no_think,New York Yankees,51,0,0,"[""1999 Major League Baseball draft"", ""Major League Baseball Most Valuable Player Award"", ""World Series Most Valuable Player Award"", ""Hart Memorial Trophy"", ""Major League Baseball All-Star Game Most Valuable Player Award""]"
MuSiQue,39,rankgpt_select5_no_think,New York Yankees,51,0,0,"[""1999 Major League Baseball draft"", ""Major League Baseball Most Valuable Player Award"", ""World Series Most Valuable Player Award"", ""Hart Memorial Trophy"", ""LeBron James""]"
MuSiQue,39,setr_faithful,New York Yankees,51,0,0,"[""1999 Major League Baseball draft"", ""Major League Baseball Most Valuable Player Award"", ""Hart Memorial Trophy"", ""Major League Baseball draft"", ""Major League Baseball draft""]"
MuSiQue,39,source_order,New York Yankees,51,0,0,"[""Major League Baseball draft"", ""Hart Memorial Trophy"", ""Major League Baseball draft"", ""World Series Most Valuable Player Award"", ""Major League Baseball Most Valuable Player Award""]"
MuSiQue,55,dbec_selective,Saudi Arabia,75,0,0,"[""History of Saudi Arabia"", ""Israel"", ""Water resources"", ""Israel"", ""Israel""]"
MuSiQue,55,rankgpt_rank5_no_think,Saudi Arabia,75,0,0,"[""Near East"", ""1948 Arab–Israeli War"", ""Geography of Turkey"", ""Iran"", ""Kingdom of Israel (united monarchy)""]"
MuSiQue,55,rankgpt_select5_no_think,Saudi Arabia,75,0,0,"[""Near East"", ""Hevel Eilot Regional Council"", ""Tzelafon"", ""Al Lith"", ""Geography of Turkey""]"
MuSiQue,55,setr_faithful,Saudi Arabia,75,0,0,"[""Israel"", ""Near East"", ""Jordan"", ""Water resources"", ""Israel""]"
MuSiQue,55,source_order,Saudi Arabia,75,0,0,"[""Water resources"", ""Israel"", ""Israel"", ""Israel"", ""Near East""]"
MuSiQue,55,dbec_selective,Geography of Saudi Arabia,27,0,0,"[""History of Saudi Arabia"", ""Israel"", ""Water resources"", ""Israel"", ""Israel""]"
MuSiQue,55,rankgpt_rank5_no_think,Geography of Saudi Arabia,27,0,0,"[""Near East"", ""1948 Arab–Israeli War"", ""Geography of Turkey"", ""Iran"", ""Kingdom of Israel (united monarchy)""]"
MuSiQue,55,rankgpt_select5_no_think,Geography of Saudi Arabia,27,0,0,"[""Near East"", ""Hevel Eilot Regional Council"", ""Tzelafon"", ""Al Lith"", ""Geography of Turkey""]"
MuSiQue,55,setr_faithful,Geography of Saudi Arabia,27,0,0,"[""Israel"", ""Near East"", ""Jordan"", ""Water resources"", ""Israel""]"
MuSiQue,55,source_order,Geography of Saudi Arabia,27,0,0,"[""Water resources"", ""Israel"", ""Israel"", ""Israel"", ""Near East""]"
MuSiQue,59,dbec_selective,Reformation,5,0,0,"[""John Kodwo Amissah"", ""Mary, mother of Jesus"", ""Mary, mother of Jesus"", ""Henry Scott Holland"", ""Mary, mother of Jesus""]"
MuSiQue,59,rankgpt_rank5_no_think,Reformation,5,1,1,"[""Dodi Island"", ""Wittenberg (district)"", ""Reformation"", ""Henry Scott Holland"", ""Edward VIII""]"
MuSiQue,59,rankgpt_select5_no_think,Reformation,5,0,0,"[""John Kodwo Amissah"", ""Henry Scott Holland"", ""Mary, mother of Jesus"", ""Wittenberg (district)"", ""Leipzig (district)""]"
MuSiQue,59,setr_faithful,Reformation,5,0,0,"[""John Kodwo Amissah"", ""A River Runs Through It (film)"", ""Ambroise-Marie Carré"", ""Mary, mother of Jesus"", ""Mary, mother of Jesus""]"
MuSiQue,59,source_order,Reformation,5,0,0,"[""John Kodwo Amissah"", ""Mary, mother of Jesus"", ""Mary, mother of Jesus"", ""Henry Scott Holland"", ""Mary, mother of Jesus""]"
MuSiQue,59,dbec_selective,Wittenberg (district),27,0,0,"[""John Kodwo Amissah"", ""Mary, mother of Jesus"", ""Mary, mother of Jesus"", ""Henry Scott Holland"", ""Mary, mother of Jesus""]"
MuSiQue,59,rankgpt_rank5_no_think,Wittenberg (district),27,1,1,"[""Dodi Island"", ""Wittenberg (district)"", ""Reformation"", ""Henry Scott Holland"", ""Edward VIII""]"
MuSiQue,59,rankgpt_select5_no_think,Wittenberg (district),27,1,1,"[""John Kodwo Amissah"", ""Henry Scott Holland"", ""Mary, mother of Jesus"", ""Wittenberg (district)"", ""Leipzig (district)""]"
MuSiQue,59,setr_faithful,Wittenberg (district),27,0,0,"[""John Kodwo Amissah"", ""A River Runs Through It (film)"", ""Ambroise-Marie Carré"", ""Mary, mother of Jesus"", ""Mary, mother of Jesus""]"
MuSiQue,59,source_order,Wittenberg (district),27,0,0,"[""John Kodwo Amissah"", ""Mary, mother of Jesus"", ""Mary, mother of Jesus"", ""Henry Scott Holland"", ""Mary, mother of Jesus""]"
MuSiQue,69,dbec_selective,"Tucson, Arizona",94,0,0,"[""Mingus Plays Piano"", ""Oklahoma City"", ""Desert Diamond West Valley Phoenix Grand Prix"", ""Oklahoma City"", ""Indiana""]"
MuSiQue,69,rankgpt_rank5_no_think,"Tucson, Arizona",94,0,0,"[""Charles Mingus"", ""Indiana"", ""Oklahoma City"", ""Bangladesh"", ""2018 Indianapolis 500""]"
MuSiQue,69,rankgpt_select5_no_think,"Tucson, Arizona",94,0,0,"[""Charles Mingus"", ""Detroit"", ""Oklahoma City"", ""Oklahoma City"", ""Monroe City, Indiana""]"
MuSiQue,69,setr_faithful,"Tucson, Arizona",94,0,0,"[""Mingus Plays Piano"", ""Indiana"", ""Charles Mingus"", ""Arizona"", ""Zarqa Governorate""]"
MuSiQue,69,source_order,"Tucson, Arizona",94,0,0,"[""Mingus Plays Piano"", ""Indiana"", ""Arizona"", ""Zarqa Governorate"", ""Charles Mingus""]"
MuSiQue,74,dbec_selective,Mississippi River,50,0,0,"[""Minneapolis"", ""Write This Down (band)"", ""J. David Irwin"", ""Missouri"", ""Astronautalis""]"
MuSiQue,74,rankgpt_rank5_no_think,Mississippi River,50,1,1,"[""Write This Down (band)"", ""Minneapolis"", ""Mississippi River"", ""Wichita, Kansas"", ""Ohio River""]"
MuSiQue,74,rankgpt_select5_no_think,Mississippi River,50,1,1,"[""Write This Down (band)"", ""Minneapolis"", ""Cumberland River"", ""Mississippi River"", ""Lake Ontario""]"
MuSiQue,74,setr_faithful,Mississippi River,50,0,0,"[""Write This Down (band)"", ""Minneapolis"", ""J. David Irwin"", ""Missouri"", ""Astronautalis""]"
MuSiQue,74,source_order,Mississippi River,50,0,0,"[""Write This Down (band)"", ""Minneapolis"", ""J. David Irwin"", ""Missouri"", ""Astronautalis""]"
MuSiQue,87,dbec_selective,1952 Winter Olympics,81,0,0,"[""John F. Thorson"", ""The Book Thief (film)"", ""Capital punishment in the United States"", ""Tour de France records and statistics"", ""The Book Thief (film)""]"
MuSiQue,87,rankgpt_rank5_no_think,1952 Winter Olympics,81,0,0,"[""List of territorial entities where German is an official language"", ""Angela Merkel"", ""Capital punishment in Illinois"", ""Capital punishment in the United Kingdom"", ""The Grapes of Wrath""]"
MuSiQue,87,rankgpt_select5_no_think,1952 Winter Olympics,81,0,0,"[""The Messenger (Zusak novel)"", ""List of territorial entities where German is an official language"", ""Capital punishment in the United Kingdom"", ""Capital punishment in Illinois"", ""Peter Altenberg""]"
MuSiQue,87,setr_faithful,1952 Winter Olympics,81,0,0,"[""The Book Thief (film)"", ""Capital punishment in the United Kingdom"", ""The Book Thief (film)"", ""Capital punishment in the United States"", ""Capital punishment in New Zealand""]"
MuSiQue,87,source_order,1952 Winter Olympics,81,0,0,"[""The Book Thief (film)"", ""Capital punishment in the United States"", ""The Book Thief (film)"", ""Capital punishment in the United Kingdom"", ""Capital punishment in New Zealand""]"
MuSiQue,87,dbec_selective,The Messenger (Zusak novel),15,0,0,"[""John F. Thorson"", ""The Book Thief (film)"", ""Capital punishment in the United States"", ""Tour de France records and statistics"", ""The Book Thief (film)""]"
MuSiQue,87,rankgpt_rank5_no_think,The Messenger (Zusak novel),15,0,0,"[""List of territorial entities where German is an official language"", ""Angela Merkel"", ""Capital punishment in Illinois"", ""Capital punishment in the United Kingdom"", ""The Grapes of Wrath""]"
MuSiQue,87,rankgpt_select5_no_think,The Messenger (Zusak novel),15,1,1,"[""The Messenger (Zusak novel)"", ""List of territorial entities where German is an official language"", ""Capital punishment in the United Kingdom"", ""Capital punishment in Illinois"", ""Peter Altenberg""]"
MuSiQue,87,setr_faithful,The Messenger (Zusak novel),15,0,0,"[""The Book Thief (film)"", ""Capital punishment in the United Kingdom"", ""The Book Thief (film)"", ""Capital punishment in the United States"", ""Capital punishment in New Zealand""]"
MuSiQue,87,source_order,The Messenger (Zusak novel),15,0,0,"[""The Book Thief (film)"", ""Capital punishment in the United States"", ""The Book Thief (film)"", ""Capital punishment in the United Kingdom"", ""Capital punishment in New Zealand""]"
MuSiQue,90,dbec_selective,Media in Pristina,28,0,0,"[""Serbian language"", ""Love Around"", ""Olivera Marković"", ""Olivera Katarina"", ""List of territorial entities where English is an official language""]"
MuSiQue,90,rankgpt_rank5_no_think,Media in Pristina,28,0,0,"[""Serbian language"", ""Guyana"", ""Portugal"", ""Armenia"", ""Cyprus""]"
MuSiQue,90,rankgpt_select5_no_think,Media in Pristina,28,0,0,"[""Olivera Marković"", ""Serbian language"", ""Guyana"", ""List of territorial entities where English is an official language"", ""Serbia at the Olympics""]"
MuSiQue,90,setr_faithful,Media in Pristina,28,0,0,"[""Serbian language"", ""Belgrade (film)"", ""Olivera Marković"", ""Olivera Katarina"", ""List of territorial entities where English is an official language""]"
MuSiQue,90,source_order,Media in Pristina,28,0,0,"[""Olivera Marković"", ""Serbian language"", ""Olivera Katarina"", ""List of territorial entities where English is an official language"", ""Josip Broz Tito""]"
MuSiQue,91,dbec_selective,WWNQ,26,0,0,"[""Saint Paul, Minnesota"", ""Erskine College"", ""List of capitals in the United States"", ""Apulia"", ""Erskine College–Due West Historic District""]"
MuSiQue,91,rankgpt_rank5_no_think,WWNQ,26,0,0,"[""Columbia, South Carolina"", ""Minnesota State Capitol"", ""Columbia, South Carolina"", ""Mississippi"", ""Florida""]"
MuSiQue,91,rankgpt_select5_no_think,WWNQ,26,0,0,"[""Erskine College"", ""Columbia, South Carolina"", ""Forest Acres, South Carolina"", ""Saint Paul, Minnesota"", ""Minnesota State Capitol""]"
MuSiQue,91,setr_faithful,WWNQ,26,0,0,"[""Erskine College"", ""Columbia, South Carolina"", ""Forest Acres, South Carolina"", ""Erskine College–Due West Historic District"", ""List of capitals in the United States""]"
MuSiQue,91,source_order,WWNQ,26,0,0,"[""Erskine College"", ""Erskine College–Due West Historic District"", ""List of capitals in the United States"", ""Mississippi"", ""Minneapolis""]"
MuSiQue,91,dbec_selective,"Charleston, South Carolina",10,0,0,"[""Saint Paul, Minnesota"", ""Erskine College"", ""List of capitals in the United States"", ""Apulia"", ""Erskine College–Due West Historic District""]"
MuSiQue,91,rankgpt_rank5_no_think,"Charleston, South Carolina",10,0,0,"[""Columbia, South Carolina"", ""Minnesota State Capitol"", ""Columbia, South Carolina"", ""Mississippi"", ""Florida""]"
MuSiQue,91,rankgpt_select5_no_think,"Charleston, South Carolina",10,0,0,"[""Erskine College"", ""Columbia, South Carolina"", ""Forest Acres, South Carolina"", ""Saint Paul, Minnesota"", ""Minnesota State Capitol""]"
MuSiQue,91,setr_faithful,"Charleston, South Carolina",10,0,0,"[""Erskine College"", ""Columbia, South Carolina"", ""Forest Acres, South Carolina"", ""Erskine College–Due West Historic District"", ""List of capitals in the United States""]"
MuSiQue,91,source_order,"Charleston, South Carolina",10,0,0,"[""Erskine College"", ""Erskine College–Due West Historic District"", ""List of capitals in the United States"", ""Mississippi"", ""Minneapolis""]"
MuSiQue,117,dbec_selective,Paula Santiago,15,0,0,"[""Sebastian Cabot (explorer)"", ""Manuel Balbi"", ""John Cabot"", ""Sergio Villanueva"", ""Francisco H. Vázquez""]"
MuSiQue,117,rankgpt_rank5_no_think,Paula Santiago,15,0,0,"[""Exploration of North America"", ""Sebastian Cabot (explorer)"", ""John Cabot"", ""Northwest Passage"", ""History of Maryland""]"
MuSiQue,117,rankgpt_select5_no_think,Paula Santiago,15,0,0,"[""John Cabot"", ""Sebastian Cabot (explorer)"", ""Exploration of North America"", ""Northwest Passage"", ""History of Maryland""]"
MuSiQue,117,setr_faithful,Paula Santiago,15,0,0,"[""Sebastian Cabot (explorer)"", ""Exploration of North America"", ""Manuel Balbi"", ""John Cabot"", ""Sergio Villanueva""]"
MuSiQue,117,source_order,Paula Santiago,15,0,0,"[""Manuel Balbi"", ""John Cabot"", ""Sebastian Cabot (explorer)"", ""Sergio Villanueva"", ""Francisco H. Vázquez""]"
MuSiQue,118,dbec_selective,"Newport News, Virginia",96,0,0,"[""Virginia"", ""Richmond, Virginia"", ""Mariana Trench"", ""Mariana Trench"", ""Puerto Rico Trench""]"
MuSiQue,118,rankgpt_rank5_no_think,"Newport News, Virginia",96,0,0,"[""Mariana Trench"", ""Mariana Trench"", ""Steamer Range"", ""Old York Gaol"", ""Shirley Plantation""]"
MuSiQue,118,rankgpt_select5_no_think,"Newport News, Virginia",96,0,0,"[""Old York Gaol"", ""Mariana Trench"", ""Mariana Trench"", ""East Coast of the United States"", ""Virginia""]"
MuSiQue,118,setr_faithful,"Newport News, Virginia",96,0,0,"[""Richmond, Virginia"", ""Virginia"", ""Mariana Trench"", ""Mariana Trench"", ""Puerto Rico Trench""]"
MuSiQue,118,source_order,"Newport News, Virginia",96,0,0,"[""Mariana Trench"", ""Mariana Trench"", ""Puerto Rico Trench"", ""Mariana Trench"", ""East Coast of the United States""]"
MuSiQue,150,dbec_selective,Prague underground (culture),22,0,0,"[""Josip Broz Tito"", ""Declarations of war during World War II"", ""John Kerry"", ""1937 South American Championship"", ""Guarani alphabet""]"
MuSiQue,150,rankgpt_rank5_no_think,Prague underground (culture),22,1,1,"[""Prague underground (culture)"", ""Warsaw Pact"", ""Czech Republic"", ""Dwight D. Eisenhower"", ""Allies of World War II""]"
MuSiQue,150,rankgpt_select5_no_think,Prague underground (culture),22,1,1,"[""Prague underground (culture)"", ""Warsaw Pact"", ""Korean War"", ""Czech Republic"", ""Allies of World War II""]"
MuSiQue,150,setr_faithful,Prague underground (culture),22,0,0,"[""Josip Broz Tito"", ""Josip Broz Tito"", ""Southern Europe"", ""John Kerry"", ""1937 South American Championship""]"
MuSiQue,150,source_order,Prague underground (culture),22,0,0,"[""Josip Broz Tito"", ""John Kerry"", ""1937 South American Championship"", ""Guarani alphabet"", ""Norman, Wisconsin""]"
MuSiQue,153,dbec_selective,The Right Stuff Records,17,0,0,"[""Sony Music"", ""Our Lady of the Rosary"", ""Vilaiyaadu Mankatha"", ""John Deere World Headquarters"", ""Richmond, Virginia""]"
MuSiQue,153,rankgpt_rank5_no_think,The Right Stuff Records,17,0,0,"[""Our Lady of the Rosary"", ""Kathmandu"", ""Sony Music"", ""Dharwad"", ""John Deere World Headquarters""]"
MuSiQue,153,rankgpt_select5_no_think,The Right Stuff Records,17,0,0,"[""Kathmandu"", ""Sony Music"", ""Sony Music"", ""Elphinstone Bridge, Chennai"", ""Our Lady of the Rosary""]"
MuSiQue,153,setr_faithful,The Right Stuff Records,17,0,0,"[""Vilaiyaadu Mankatha"", ""Sony Music"", ""Miami"", ""Richmond, Virginia"", ""Pure BS""]"
MuSiQue,153,source_order,The Right Stuff Records,17,0,0,"[""Vilaiyaadu Mankatha"", ""Richmond, Virginia"", ""Sony Music"", ""Pure BS"", ""Multidirection""]"
MuSiQue,213,dbec_selective,Vatican City,20,0,0,"[""Princeps pastorum"", ""Kingdom of Bohemia"", ""Queen Victoria"", ""Criticism of Christianity"", ""Paris""]"
MuSiQue,213,rankgpt_rank5_no_think,Vatican City,20,1,1,"[""Pope John XXIII"", ""Canonization of Pope John XXIII and Pope John Paul II"", ""Vatican City"", ""Flag of Vatican City"", ""Quadragesimo anno""]"
MuSiQue,213,rankgpt_select5_no_think,Vatican City,20,0,0,"[""Pope John XXIII"", ""Canonization of Pope John XXIII and Pope John Paul II"", ""States of Germany"", ""History of South Africa"", ""History of South Africa""]"
MuSiQue,213,setr_faithful,Vatican City,20,0,0,"[""Pope John XXIII"", ""Kingdom of Bohemia"", ""Princeps pastorum"", ""Queen Victoria"", ""Criticism of Christianity""]"
MuSiQue,213,source_order,Vatican City,20,0,0,"[""Princeps pastorum"", ""Kingdom of Bohemia"", ""Queen Victoria"", ""Criticism of Christianity"", ""Paris""]"
MuSiQue,213,dbec_selective,Canonization of Pope John XXIII and Pope John Paul II,14,0,0,"[""Princeps pastorum"", ""Kingdom of Bohemia"", ""Queen Victoria"", ""Criticism of Christianity"", ""Paris""]"
MuSiQue,213,rankgpt_rank5_no_think,Canonization of Pope John XXIII and Pope John Paul II,14,1,1,"[""Pope John XXIII"", ""Canonization of Pope John XXIII and Pope John Paul II"", ""Vatican City"", ""Flag of Vatican City"", ""Quadragesimo anno""]"
MuSiQue,213,rankgpt_select5_no_think,Canonization of Pope John XXIII and Pope John Paul II,14,1,1,"[""Pope John XXIII"", ""Canonization of Pope John XXIII and Pope John Paul II"", ""States of Germany"", ""History of South Africa"", ""History of South Africa""]"
MuSiQue,213,setr_faithful,Canonization of Pope John XXIII and Pope John Paul II,14,0,0,"[""Pope John XXIII"", ""Kingdom of Bohemia"", ""Princeps pastorum"", ""Queen Victoria"", ""Criticism of Christianity""]"
MuSiQue,213,source_order,Canonization of Pope John XXIII and Pope John Paul II,14,0,0,"[""Princeps pastorum"", ""Kingdom of Bohemia"", ""Queen Victoria"", ""Criticism of Christianity"", ""Paris""]"
MuSiQue,215,dbec_selective,Geography of Myanmar,23,0,0,"[""Somalis"", ""Bueng Kan Province"", ""Athanasius of Alexandria"", ""Ottoman Empire"", ""Muang Kasi""]"
MuSiQue,215,rankgpt_rank5_no_think,Geography of Myanmar,23,0,0,"[""Thailand"", ""Muang Kasi"", ""Somalis"", ""Somalis"", ""Somalis""]"
MuSiQue,215,rankgpt_select5_no_think,Geography of Myanmar,23,0,0,"[""Somalis"", ""Philadelphia"", ""Thailand"", ""Somalis"", ""History of India""]"
MuSiQue,215,setr_faithful,Geography of Myanmar,23,0,0,"[""Ottoman Empire"", ""Rajendra Chola I"", ""Myanmar"", ""Somalis"", ""Somalis""]"
MuSiQue,215,source_order,Geography of Myanmar,23,0,0,"[""Ottoman Empire"", ""Myanmar"", ""Somalis"", ""Somalis"", ""Coinage of India""]"
MuSiQue,228,dbec_selective,Cleveland Indians,23,0,0,"[""Home run"", ""Jim Wilson (first baseman)"", ""Dan Johnson (baseball)"", ""Bill Massey (baseball)"", ""50 home run club""]"
MuSiQue,228,rankgpt_rank5_no_think,Cleveland Indians,23,1,1,"[""Cleveland Indians"", ""Bill Massey (baseball)"", ""Jim Wilson (first baseman)"", ""Fernando Tatís"", ""Barry Bonds""]"
MuSiQue,228,rankgpt_select5_no_think,Cleveland Indians,23,1,1,"[""Cleveland Indians"", ""Bill Massey (baseball)"", ""List of Major League Baseball single-game hits leaders"", ""Wes Schulmerich"", ""Willie Mays""]"
MuSiQue,228,setr_faithful,Cleveland Indians,23,0,0,"[""Jim Wilson (first baseman)"", ""Home run"", ""Dan Johnson (baseball)"", ""Bill Massey (baseball)"", ""50 home run club""]"
MuSiQue,228,source_order,Cleveland Indians,23,0,0,"[""Home run"", ""Jim Wilson (first baseman)"", ""Dan Johnson (baseball)"", ""Bill Massey (baseball)"", ""50 home run club""]"
MuSiQue,237,dbec_selective,Geography of Myanmar,29,0,0,"[""1998 FIFA World Cup"", ""That Dam"", ""Josip Broz Tito"", ""1986 FIFA World Cup"", ""Switzerland""]"
MuSiQue,237,rankgpt_rank5_no_think,Geography of Myanmar,29,1,1,"[""That Dam"", ""Columbia, South Carolina"", ""Thailand"", ""Spain"", ""Geography of Myanmar""]"
MuSiQue,237,rankgpt_select5_no_think,Geography of Myanmar,29,0,0,"[""That Dam"", ""Pakxan"", ""Thailand"", ""Spain"", ""List of FIFA World Cup finals""]"
MuSiQue,237,setr_faithful,Geography of Myanmar,29,0,0,"[""That Dam"", ""Vajiralongkorn Dam"", ""List of transcontinental countries"", ""Switzerland"", ""1986 FIFA World Cup""]"
MuSiQue,237,source_order,Geography of Myanmar,29,0,0,"[""Switzerland"", ""1986 FIFA World Cup"", ""UEFA Euro 2012 Final"", ""Adams–Onís Treaty"", ""That Dam""]"
MuSiQue,237,dbec_selective,2020 AFC U-23 Championship qualification,71,0,0,"[""1998 FIFA World Cup"", ""That Dam"", ""Josip Broz Tito"", ""1986 FIFA World Cup"", ""Switzerland""]"
MuSiQue,237,rankgpt_rank5_no_think,2020 AFC U-23 Championship qualification,71,0,0,"[""That Dam"", ""Columbia, South Carolina"", ""Thailand"", ""Spain"", ""Geography of Myanmar""]"
MuSiQue,237,rankgpt_select5_no_think,2020 AFC U-23 Championship qualification,71,0,0,"[""That Dam"", ""Pakxan"", ""Thailand"", ""Spain"", ""List of FIFA World Cup finals""]"
MuSiQue,237,setr_faithful,2020 AFC U-23 Championship qualification,71,0,0,"[""That Dam"", ""Vajiralongkorn Dam"", ""List of transcontinental countries"", ""Switzerland"", ""1986 FIFA World Cup""]"
MuSiQue,237,source_order,2020 AFC U-23 Championship qualification,71,0,0,"[""Switzerland"", ""1986 FIFA World Cup"", ""UEFA Euro 2012 Final"", ""Adams–Onís Treaty"", ""That Dam""]"
MuSiQue,237,dbec_selective,Myanmar,77,0,0,"[""1998 FIFA World Cup"", ""That Dam"", ""Josip Broz Tito"", ""1986 FIFA World Cup"", ""Switzerland""]"
MuSiQue,237,rankgpt_rank5_no_think,Myanmar,77,0,0,"[""That Dam"", ""Columbia, South Carolina"", ""Thailand"", ""Spain"", ""Geography of Myanmar""]"
MuSiQue,237,rankgpt_select5_no_think,Myanmar,77,0,0,"[""That Dam"", ""Pakxan"", ""Thailand"", ""Spain"", ""List of FIFA World Cup finals""]"
MuSiQue,237,setr_faithful,Myanmar,77,0,0,"[""That Dam"", ""Vajiralongkorn Dam"", ""List of transcontinental countries"", ""Switzerland"", ""1986 FIFA World Cup""]"
MuSiQue,237,source_order,Myanmar,77,0,0,"[""Switzerland"", ""1986 FIFA World Cup"", ""UEFA Euro 2012 Final"", ""Adams–Onís Treaty"", ""That Dam""]"
MuSiQue,259,dbec_selective,List of destroyer classes of the United States Navy,16,0,0,"[""United States Navy SEALs"", ""USS Chillicothe (1862)"", ""United States Air Force Judge Advocate General's Corps"", ""United States Navy SEALs"", ""Rudy Boesch""]"
MuSiQue,259,rankgpt_rank5_no_think,List of destroyer classes of the United States Navy,16,0,0,"[""United States Navy SEALs"", ""USS Tringa (ASR-16)"", ""Rudy Boesch"", ""USS Edsall (DE-129)"", ""Tears of the Sun""]"
MuSiQue,259,rankgpt_select5_no_think,List of destroyer classes of the United States Navy,16,0,0,"[""United States Navy SEALs"", ""Rudy Boesch"", ""USS Edsall (DE-129)"", ""USS Tringa (ASR-16)"", ""Estonia""]"
MuSiQue,259,setr_faithful,List of destroyer classes of the United States Navy,16,0,0,"[""United States Navy SEALs"", ""Rudy Boesch"", ""USS Chillicothe (1862)"", ""United States Navy SEALs"", ""USS Chanticleer (ASR-7)""]"
MuSiQue,259,source_order,List of destroyer classes of the United States Navy,16,0,0,"[""USS Chillicothe (1862)"", ""United States Navy SEALs"", ""United States Navy SEALs"", ""Rudy Boesch"", ""USS Chanticleer (ASR-7)""]"
